n_jobs 	 sync 	 thread 	 multiprocess
1 	 0.010926500006462447 	 0.017791082995245233 	 0.10093354099808494
2 	 0.010926500006462447 	 0.01897175000340212 	 0.10047045799728949
3 	 0.010926500006462447 	 0.02068745799624594 	 0.10375466699770186
4 	 0.010926500006462447 	 0.020720916996651795 	 0.11455904200556688
5 	 0.010926500006462447 	 0.025008707998495083 	 0.10473458399792435
6 	 0.010926500006462447 	 0.025806833000387996 	 0.11801362500409596
7 	 0.010926500006462447 	 0.022180957996170036 	 0.12136525000096299
8 	 0.010926500006462447 	 0.02184720800141804 	 0.12730829199426807
9 	 0.010926500006462447 	 0.02253375000145752 	 0.1308457500053919
10 	 0.010926500006462447 	 0.02257925000594696 	 0.15395162499771686
11 	 0.010926500006462447 	 0.022700500005157664 	 0.17807216600340325
12 	 0.010926500006462447 	 0.023006082999927457 	 0.15841158300463576
13 	 0.010926500006462447 	 0.0218860839959234 	 0.1765166249970207
14 	 0.010926500006462447 	 0.02409795800485881 	 0.17077408299519448
15 	 0.010926500006462447 	 0.023345041001448408 	 0.17790633300319314
16 	 0.010926500006462447 	 0.02299512500030687 	 0.1886861669991049
